id,type,query,expected_answer,key_terms
C09,conceptual,How do closures work in Python?,Closures are inner functions that capture and remember variables from their enclosing scope even after the outer function has finished executing. They are related to late binding behavior.,"['closures', 'enclosing scope', 'capture', 'late binding']"
C10,conceptual,Why is the difference between mutable and immutable types important?,"The distinction matters because mutable objects can be changed in-place (causing side effects through shared references), while immutable objects create new objects on modification. This affects function arguments, dictionary keys, and thread safety.","['mutable', 'immutable', 'side effects', 'shared references']"
C11,conceptual,How does Python's execution model work internally?,"Python source code is first compiled to bytecode (.pyc files), then executed by the Python Virtual Machine (PVM). The PVM interprets bytecode instructions one at a time.","['bytecode', 'PVM', 'compiled', 'interpreted']"
C12,conceptual,Why do decorators use the @syntax and how do they modify functions?,The @decorator syntax is syntactic sugar for wrapping a function. Writing @decorator before def func() is equivalent to func = decorator(func). Decorators can add behavior before/after the wrapped function without changing its code.,"['@', 'wrapper', 'syntactic sugar']"
C13,conceptual,How does exception handling prevent program crashes?,"Exception handling uses try-except blocks to catch runtime errors. When an exception occurs in the try block, execution jumps to the matching except block instead of terminating. The finally block runs regardless of whether an exception occurred.","['try', 'except', 'finally', 'catch']"
C14,conceptual,Why is multiprocessing preferred over threading for CPU-bound tasks in Python?,"Because the GIL prevents true thread parallelism in CPython, multiprocessing creates separate processes with their own GIL, enabling true CPU parallelism for compute-intensive tasks.","['GIL', 'multiprocessing', 'CPU-bound', 'parallelism']"
C15,conceptual,How does Python's scope resolution mechanism work?,"Python resolves variable names using the LEGB rule: it first checks the Local scope, then Enclosing function scopes, then Global scope, and finally Built-in scope.","['LEGB', 'Local', 'Enclosing', 'Global', 'Built-in']"
C16,conceptual,What is the role of functional programming in Python?,"Python supports functional programming through features like lambda functions, map/filter/reduce, closures, and higher-order functions. Functions are first-class objects that can be passed as arguments and returned from other functions.","['functional', 'lambda', 'first-class', 'higher-order']"
C17,conceptual,How does Python handle memory for immutable vs mutable objects differently?,"For immutable objects like small integers and strings, Python uses interning (caching) to reuse objects. For mutable objects, each creation produces a new object. Immutable objects can be shared safely across references.","['interning', 'caching', 'reuse', 'shared']"
C18,conceptual,Why is understanding iterators and generators important for efficient Python code?,"Iterators and generators enable lazy evaluation, processing one item at a time without loading entire sequences into memory. This is essential for handling large datasets, file processing, and stream-based computations efficiently.","['iterators', 'generators', 'lazy evaluation', 'memory']"
C19,conceptual,How does the Method Resolution Order affect multiple inheritance?,MRO uses the C3 linearization algorithm to determine the order in which base classes are searched for methods. This prevents the diamond problem and ensures each class appears only once in the resolution order.,"['MRO', 'C3 linearization', 'diamond problem', 'multiple inheritance']"
C20,conceptual,What are the common GATE-level pitfalls in Python programming?,"Common GATE-level pitfalls include confusing mutable default arguments, shallow vs deep copy behavior, variable scoping issues with closures, integer caching behavior, and string immutability implications.","['GATE', 'pitfalls', 'mutable default', 'scoping']"
M01,multi-hop,"If Python uses reference counting for memory management and strings are immutable, how does this affect string concatenation performance?","Since strings are immutable, each concatenation creates a new string object. With reference counting, the old string's reference count drops and may be garbage collected. Repeated concatenation in a loop is O(n^2) because each step creates a new copy.","['immutable', 'reference counting', 'concatenation', 'O(n^2)']"
M02,multi-hop,How do the GIL and Python's memory model interact when using multithreading with mutable shared data?,"The GIL ensures only one thread executes Python bytecode at a time, providing some protection. However, mutable shared data can still have race conditions because the GIL may release between bytecode instructions. Using locks or multiprocessing is recommended.","['GIL', 'mutable', 'race conditions', 'locks', 'multiprocessing']"
M03,multi-hop,How do closures and the LEGB rule interact when a nested function modifies an enclosing variable?,"Closures capture variables from the enclosing scope (E in LEGB). To modify an enclosing variable, you must use the 'nonlocal' keyword, otherwise Python treats the assignment as creating a new local variable (L in LEGB).","['closures', 'LEGB', 'nonlocal', 'enclosing']"
M04,multi-hop,Why does using a mutable default argument in a function definition combined with Python's variable binding cause unexpected behavior?,"Default arguments are evaluated once at function definition time, not at each call. A mutable default (like a list) is shared across all calls. Combined with Python's reference-based binding, modifications persist between calls.","['mutable default', 'evaluated once', 'shared', 'persist']"
M05,multi-hop,How does the combination of hash tables in dictionaries and immutability requirements for keys relate to Python's type system?,"Dictionary keys must be hashable, which requires immutability. This is why lists (mutable) cannot be dictionary keys but tuples (immutable) can. The hash value must remain constant for correct O(1) lookup in the hash table.","['hashable', 'immutable', 'keys', 'O(1)', 'hash table']"
M06,multi-hop,How do decorators interact with closures and Python's first-class function model?,Decorators are higher-order functions that take a function as input and return a new function. The wrapper function inside a decorator is a closure that captures the original function from the enclosing scope. This works because functions are first-class objects in Python.,"['decorators', 'closures', 'first-class', 'higher-order', 'wrapper']"
M07,multi-hop,How does Python's garbage collector handle circular references that reference counting alone cannot detect?,"Reference counting fails for circular references (A references B, B references A). Python's garbage collector uses a generational approach to detect and collect cyclic garbage by traversing object graphs periodically.","['circular references', 'garbage collector', 'generational', 'cyclic']"
M08,multi-hop,How does the execution model affect the behavior of generators when combined with exception handling?,"Generators pause execution at yield and resume later. If an exception occurs in the generator body, it propagates to the caller. The generator's try-finally block will execute when the generator is garbage collected or explicitly closed.","['generators', 'yield', 'exception', 'pause', 'resume']"
M09,multi-hop,How does the MRO algorithm resolve method conflicts in diamond inheritance with Python's OOP model?,"Python uses C3 linearization to resolve diamond inheritance. The algorithm ensures that child classes come before parents, and the order respects the inheritance graph. Each class appears only once in the MRO, preventing duplicate method calls.","['C3 linearization', 'diamond', 'MRO', 'linearization']"
M10,multi-hop,"Why does shallow copying a list of lists create problems with mutability, and how does deep copy solve this?","Shallow copy creates a new outer list but inner lists remain references to the original objects. Modifying an inner list in the copy affects the original. Deep copy recursively copies all nested objects, creating fully independent copies.","['shallow copy', 'deep copy', 'nested', 'references', 'independent']"
A01,adversarial,What is the capital of France?,NOT_IN_DOCUMENT,[]
A02,adversarial,How does React handle state management?,NOT_IN_DOCUMENT,[]
A03,adversarial,What is the current price of Bitcoin?,NOT_IN_DOCUMENT,[]
A04,adversarial,Explain quantum computing error correction.,NOT_IN_DOCUMENT,[]
A05,adversarial,What SQL query finds the top 5 customers by revenue?,NOT_IN_DOCUMENT,[]
A06,adversarial,How do you configure Kubernetes pod autoscaling?,NOT_IN_DOCUMENT,[]
A07,adversarial,What are the symptoms of Type 2 diabetes?,NOT_IN_DOCUMENT,[]
A08,adversarial,Explain the theory of general relativity.,NOT_IN_DOCUMENT,[]
A09,adversarial,How do you train a GPT model from scratch?,NOT_IN_DOCUMENT,[]
A10,adversarial,What is the recipe for chocolate cake?,NOT_IN_DOCUMENT,[]
